Send,SORT,Sender,Recipient,time,SenderLocation,LATITUDE,LONGITUDE,RecLocation,RecLat,RecLong,URL,
Whitman,1,Whitman; Walt,Harper's Magazine,1860-01-07,"Brooklyn, NY",40.67815,-73.9445,"New York, NY",40.68005,-73.9432,https://whitmanarchive.org/biography/correspondence/tei/loc.05277.html,
Whitman,2,Whitman; Walt,New York Sunday Courier,1860-01-16,"Brooklyn, NY",40.67815,-73.9445,"New York, NY",40.68005,-73.9432,https://whitmanarchive.org/biography/correspondence/tei/loc.00755.html,
Whitman,3,Whitman; Walt,Lowell; James Russell,1860-01-20,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/uva.00342.html,
Not,4,Thayer & Eldridge,Whitman; Walt,1860-02-10,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/loc.00560.html,
Not,5,Thayer & Eldridge,Whitman; Walt,1860-02-27,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/loc.00561.html,
Not,6,Thayer & Eldridge,Whitman; Walt,1860-03-02,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/loc.00562.html,
Whitman,7,Whitman; Walt,Editor of the Atlantic Monthly,1860-03-02,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/prc.00003.html,
Not,8,Ticknor & Fields,Whitman; Walt,1860-03-06,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/med.00319.html,
Not,9,Thayer & Eldridge,Whitman; Walt,1860-03-07,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/loc.00563.html,
Not,10,Thayer & Eldridge,Whitman; Walt,1860-03-09,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/loc.00564.html,
Not,11,Vaughan; Fred,Whitman; Walt,1860-03-19,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00565.html,
Not,12,Hine; Charles,Whitman; Walt,1860-03-21,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00566.html,
Not,13,Vaughan; Fred,Whitman; Walt,1860-03-21,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00567.html,
Not,14,Clapp Jr.; Henry,Whitman; Walt,1860-03-27,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00568.html,
Not,15,Vaughan; Fred,Whitman; Walt,1860-03-27,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00569.html,
Whitman,16,Whitman; Walt,Price; Abby H.,1860-03-29,"Boston, MA",42.35876,-71.0638,"New York, NY",40.68005,-73.9432,https://whitmanarchive.org/biography/correspondence/tei/pml.00011.html,
Whitman,17,Whitman; Walt,Whitman; Thomas Jefferson,1860-04-01,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/wwh.00002.html,
Not,18,Whitman; Thomas Jefferson,Whitman; Walt,1860-04-03,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00392.html,
Not,19,Whitman; Louisa Van Velsor,Whitman; Walt,1860-04-04,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/duk.00422.html,
Not,20,Sammis; O. K.,Whitman; Walt,1860-04-06,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00863.html,
Not,21,Vaughan; Fred,Whitman; Walt,1860-04-09,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00570.html,
Not,22,Whitman; Thomas Jefferson,Whitman; Walt,1860-04-16,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00393.html,
Not,23,Baker; Frederick,Whitman; Walt,1860-04-23,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00848.html,
Whitman,24,Whitman; Walt,Baker; Frederick,1860-04-24,"Boston, MA",42.35876,-71.0638,"New York, NY",40.68005,-73.9432,https://whitmanarchive.org/biography/correspondence/tei/loc.00756.html,
Not,25,Vaughan; Fred,Whitman; Walt,1860-04-30,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00571.html,
Whitman,26,Whitman; Walt,Thayer & Eldridge,1860-05-01,"Brooklyn, NY",40.67815,-73.9445,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/loc.00757.html,
Whitman,27,Whitman; Walt,Whitman; Thomas Jefferson,1860-05-10,"Boston, MA",42.35876,-71.0638,"Brooklyn, NY",40.67815,-73.9445,https://whitmanarchive.org/biography/correspondence/tei/wwh.00003.html,
Not,28,Clapp; Jr.; Henry,Whitman; Walt,1860-05-12,"New York, NY",40.68005,-73.9432,"Boston, MA",42.35876,-71.0638,https://whitmanarchive.org/biography/correspondence/tei/med.00326.html,
